Name,Sex
"Chisholm, Mr. Roderick Robert Crispin",male
"Cunningham, Mr. Alfred Fleming",male
"Frost, Mr. Anthony Wood Artie""""""""",male
"Knight, Mr. Robert J.",male
"Parkes, Mr. Francis Frank""""""""",male
"Parr, Mr. William Henry Marsh",male
"Watson, Mr. Ennis Hastings",male
"Brailey, Mr. W. Theodore Ronald",male
"Bricoux, Mr. Roger Marie",male
" Clarke, Mr. John Frederick Preston ",male
"Hartley, Mr. Wallace Henry",male
"Hume, Mr. John Law Jock""""""""",male
"Krins, Mr. Georges Alexandre",male
"Taylor, Mr. Percy Cornelius ",male
"Woodward, Mr. John Wesley ",male
"Braund, Mr. Owen Harris",male
"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",female
"Heikkinen, Miss. Laina",female
"Futrelle, Mrs. Jacques Heath (Lily May Peel)",female
"Allen, Mr. William Henry",male
"McCarthy, Mr. Timothy J",male
"Palsson, Master. Gosta Leonard",male
"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",female
"Nasser, Mrs. Nicholas (Adele Achem)",female
"Sandstrom, Miss. Marguerite Rut",female
"Bonnell, Miss. Elizabeth",female
"Saundercock, Mr. William Henry",male
"Andersson, Mr. Anders Johan",male
"Vestrom, Miss. Hulda Amanda Adolfina",female
"Hewlett, Mrs. (Mary D Kingcome) ",female
"Rice, Master. Eugene",male
"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",female
"Fynney, Mr. Joseph J",male
"Beesley, Mr. Lawrence",male
"McGowan, Miss. Anna "Annie"""",female
"Sloper, Mr. William Thompson",male
"Palsson, Miss. Torborg Danira",female
"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",female
"Fortune, Mr. Charles Alexander",male
"Uruchurtu, Don. Manuel E",male
"Wheadon, Mr. Edward H",male
"Meyer, Mr. Edgar Joseph",male
"Holverson, Mr. Alexander Oskar",male
"Cann, Mr. Ernest Charles",male
"Vander Planke, Miss. Augusta Maria",female
"Nicola-Yarred, Miss. Jamila",female
"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",female
"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",female
"Laroche, Miss. Simonne Marie Anne Andree",female
"Devaney, Miss. Margaret Delia",female
"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",female
"Panula, Master. Juha Niilo",male
"Nosworthy, Mr. Richard Cater",male
"Harper, Mrs. Henry Sleeper (Myna Haxtun)",female
"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",female
"Ostby, Mr. Engelhart Cornelius",male
"Rugg, Miss. Emily",female
"Novel, Mr. Mansouer",male
"West, Miss. Constance Mirium",female
"Goodwin, Master. William Frederick",male
"Sirayanian, Mr. Orsen",male
"Icard, Miss. Amelie",female
